,date,species,bands,sx,sy
216,5/30/2014,GRSP,AA-AS,712179,4330142
256,6/4/2014,GRSP,AA-BS,713708,4335407
268,6/4/2014,GRSP,AA-BS,713708,4335407
311,6/10/2014,GRSP,AA-BS,713708,4335407
549,7/17/2014,GRSP,AA-BS,713567,4335435
3293,8/7/2017,GRSP,AA-DS,707053,4329913
4189,6/1/2019,GRSP,AA-KS,712739,4332526
3461,5/25/2018,GRSP,AA-PS,711231,4331802
740,5/19/2015,GRSP,AA-SA,711069,4330959
1766,5/19/2016,GRSP,AA-SAx,712518,4329269
3582,6/6/2018,GRSP,AA-SB,714053,4335596
907,6/9/2015,GRSP,AA-SD,712327,4329416
3183,7/14/2017,GRSP,AA-SDx,706778,4329873
3055,7/1/2017,GRSP,AA-SG,706748,4329682
1066,6/26/2015,GRSP,AA-SK,713102,4334449
2568,7/28/2016,GRSP,AA-SW,711753,4329864
2864,6/8/2017,GRSP,AA-SW,711798,4329864
274,6/6/2014,GRSP,AA-WS,708297,4328848
220,5/31/2014,GRSP,AB-AS,711143,4330554
277,6/6/2014,GRSP,AB-BS,708508,4329273
4619,5/19/2020,GRSP,AB-KS,708487,4328767
2327,7/1/2016,GRSP,AB-SB,712048,4328591
2362,7/5/2016,GRSP,AB-SB,712048,4328591
585,7/24/2014,GRSP,AB-SG,711810,4330049
548,7/17/2014,GRSP,AB-SW,713693,4335145
4174,5/29/2019,GRSP,AB-WS,707950,4330184
1001,6/20/2015,GRSP,AD-AS,711663,4329614
866,6/4/2015,GRSP,AG-AS,709894,4329239
140,5/21/2014,GRSP,AG-SR,711472,4330470
151,5/21/2014,GRSP,AG-SR,711472,4330470
257,6/4/2014,GRSP,AG-SR,711472,4330470
276,6/6/2014,GRSP,AG-SR,711472,4330470
155,5/23/2014,GRSP,AG-SR,711441,4330487
4274,6/11/2019,GRSP,AG-SY,711104,4328465
4643,5/21/2020,GRSP,AG-SY,712755,4329225
4641,5/21/2020,GRSP,AG-SY,712774,4329229
4640,5/21/2020,GRSP,AG-SY,712775,4329239
4814,6/24/2020,GRSP,AG-SY,712756,4329265
4808,6/24/2020,GRSP,AG-SY,712768,4329291
2585,8/2/2016,GRSP,AK-AS,711986,4328489
148,5/21/2014,GRSP,AK-KS,711472,4330470
266,6/4/2014,GRSP,AK-KS,711472,4330470
270,6/6/2014,GRSP,AK-KS,711472,4330470
282,6/8/2014,GRSP,AK-KS,711472,4330470
2517,7/26/2016,GRSP,AK-SB,713537,4335496
175,5/28/2014,GRSP,AK-SW,712482,4330070
227,6/1/2014,GRSP,AK-SW,712482,4330070
258,6/4/2014,GRSP,AK-SW,712523,4330071
177,5/28/2014,GRSP,AK-SW,712452,4330092
2666,5/9/2017,GRSP,AK-VS,711382,4330592
159,5/25/2014,GRSP,AP-OS,712279,4329404
248,6/4/2014,GRSP,AP-OS,712314,4329405
349,6/14/2014,GRSP,AP-OS,712314,4329405
372,6/18/2014,GRSP,AP-OS,712314,4329405
514,7/12/2014,GRSP,AP-OS,712314,4329405
4195,6/3/2019,GRSP,AP-SB,712452,4330078
4821,6/25/2020,GRSP,AR-BS,713562,4335076
5006,7/31/2020,GRSP,AR-BS,713559,4335077
5010,7/31/2020,GRSP,AR-BS,713558,4335086
5011,7/31/2020,GRSP,AR-BS,713556,4335097
893,6/8/2015,GRSP,AS-AA,708380,4328399
1816,5/25/2016,GRSP,AS-AAx,712280,4330410
847,6/2/2015,GRSP,AS-AB,713557,4334187
967,6/16/2015,GRSP,AS-AB,713496,4334228
2907,6/14/2017,GRSP,AS-AB,713402,4334430
3664,6/19/2018,GRSP,AS-AG,712571,4331503
3383,5/18/2018,GRSP,AS-BA,710989,4331180
301,6/8/2014,GRSP,AS-BB,711052,4330677
3585,6/7/2018,GRSP,AS-BG,712218,4329633
3748,6/27/2018,GRSP,AS-BG,710841,4332388
3156,7/12/2017,GRSP,AS-BK,713502,4334530
4564,7/22/2019,GRSP,AS-KB,713636,4335541
3587,6/7/2018,GRSP,AS-KK,712055,4329268
4012,5/2/2019,GRSP,AS-KP,712558,4330143
1638,8/7/2015,GRSP,AS-OO,713580,4335614
515,7/12/2014,GRSP,AS-RB,712676,4329496
600,7/29/2014,GRSP,AS-RB,712627,4329631
2908,6/14/2017,GRSP,AS-WA,713346,4334442
3201,7/15/2017,GRSP,AS-WB,713640,4335443
2901,6/12/2017,GRSP,AS-WB,713606,4335456
361,6/16/2014,GRSP,AW-AS,711508,4330840
1059,6/25/2015,GRSP,AW-BS,713277,4334457
580,7/23/2014,GRSP,AW-RS,711594,4330549
4390,6/25/2019,GRSP,AY-GS,712446,4332554
2814,6/3/2017,GRSP,AY-SP,711130,4330393
2818,6/3/2017,GRSP,AY-SP,711144,4330416
2809,6/3/2017,GRSP,AY-SP,711149,4330433
2598,4/21/2017,GRSP,AY-SP,711156,4330578
2599,4/21/2017,GRSP,AY-SP,711161,4330589
2137,6/18/2016,GRSP,AY-SP,711113,4330594
2480,7/19/2016,GRSP,AY-SP,711155,4330597
2138,6/18/2016,GRSP,AY-SP,711127,4330604
2460,7/19/2016,GRSP,AY-SP,711154,4330607
2081,6/13/2016,GRSP,AY-SP,711095,4330617
2466,7/19/2016,GRSP,AY-SP,711146,4330621
2378,7/6/2016,GRSP,AY-SP,711183,4330631
2151,6/18/2016,GRSP,AY-SP,711146,4330632
1726,5/10/2016,GRSP,AY-SP,711021,4330662
749,5/21/2015,GRSP,AY-SP,711227,4330818
843,6/1/2015,GRSP,BA-BS,711482,4330167
535,7/15/2014,GRSP,BA-GS,708759,4328817
1225,7/7/2015,GRSP,BA-SK,713283,4334380
1365,7/17/2015,GRSP,BA-SK,713192,4334481
840,6/1/2015,GRSP,BA-SK,713206,4334486
1359,7/17/2015,GRSP,BA-SK,713183,4334491
1376,7/17/2015,GRSP,BA-SK,713191,4334508
476,7/3/2014,GRSP,BA-SW,711039,4330758
3784,6/30/2018,GRSP,BA-YS,711065,4328574
3198,7/15/2017,GRSP,BB-AS,713780,4335499
618,8/13/2014,GRSP,BB-BS,712345,4327771
3240,7/20/2017,GRSP,BB-BSx,713043,4334410
1070,6/27/2015,GRSP,BBBSxx,713423,4334540
1547,7/27/2015,GRSP,BB-OS,711781,4329734
1093,6/29/2015,GRSP,BB-SA,713082,4334371
3082,7/6/2017,GRSP,BB-SD,712421,4332620
3557,6/2/2018,GRSP,BB-SK,713882,4335466
2660,5/8/2017,GRSP,BB-SV,713327,4334456
2661,5/8/2017,GRSP,BB-SV,713327,4334456
4463,7/6/2019,GRSP,BB-SW,711794,4329307
4391,6/25/2019,GRSP,BB-SY,711791,4329190
4237,6/8/2019,GRSP,BD-KS,706639,4329263
4249,6/8/2019,GRSP,BD-KS,706639,4329263
4401,6/26/2019,GRSP,BD-KS,706525,4329387
4405,6/26/2019,GRSP,BD-KS,706533,4329407
4404,6/26/2019,GRSP,BD-KS,706513,4329409
4406,6/26/2019,GRSP,BD-KS,706530,4329424
4309,6/15/2019,GRSP,BD-SD,709602,4328556
722,5/17/2015,GRSP,BD-SG,713542,4334892
1135,7/1/2015,GRSP,BD-SR,710395,4330763
604,7/29/2014,GRSP,BG-BS,712483,4329386
578,7/22/2014,GRSP,BG-SA,711415,4330557
783,5/25/2015,GRSP,BG-SD,711109,4330605
4953,7/25/2020,GRSP,BG-SG,713491,4334324
4919,7/16/2020,GRSP,BG-SG,713481,4334329
4947,7/25/2020,GRSP,BG-SG,713476,4334332
4867,7/7/2020,GRSP,BG-SG,713456,4334347
4876,7/7/2020,GRSP,BG-SG,713443,4334361
4232,6/7/2019,GRSP,BG-SG,713355,4334366
4230,6/7/2019,GRSP,BG-SG,713348,4334372
4180,5/30/2019,GRSP,BG-SG,713446,4334378
4457,7/3/2019,GRSP,BG-SG,713348,4334437
1067,6/26/2015,GRSP,BG-SY,708202,4331749
1088,6/28/2015,GRSP,BG-SY,708234,4331751
1198,7/6/2015,GRSP,BG-SY,708292,4331768
1268,7/11/2015,GRSP,BG-SY,708241,4331771
1303,7/15/2015,GRSP,BG-SY,708217,4331777
1233,7/8/2015,GRSP,BG-SY,708174,4331793
1471,7/22/2015,GRSP,BG-SY,708209,4331797
1478,7/24/2015,GRSP,BG-SY,708239,4331797
1153,7/2/2015,GRSP,BG-SY,708239,4331806
1281,7/13/2015,GRSP,BG-SY,708166,4331807
1123,6/30/2015,GRSP,BG-SY,708196,4331809
1381,7/17/2015,GRSP,BG-SY,708196,4331809
1136,7/1/2015,GRSP,BG-SY,708184,4331815
1430,7/21/2015,GRSP,BG-SY,708249,4331818
828,5/31/2015,GRSP,BG-SY,708240,4331823
842,6/1/2015,GRSP,BG-SY,708240,4331823
861,6/3/2015,GRSP,BG-SY,708240,4331823
876,6/5/2015,GRSP,BG-SY,708240,4331823
883,6/7/2015,GRSP,BG-SY,708240,4331823
913,6/9/2015,GRSP,BG-SY,708240,4331823
1010,6/22/2015,GRSP,BG-SY,708240,4331823
1029,6/24/2015,GRSP,BG-SY,708240,4331823
2604,5/2/2017,GRSP,BG-VS,712584,4330158
1727,5/10/2016,GRSP,BG-WS,710966,4331034
1401,7/21/2015,GRSP,BK-OS,711303,4331361
1407,7/21/2015,GRSP,BK-OS,711310,4331370
1302,7/15/2015,GRSP,BK-OS,711316,4331456
825,5/31/2015,GRSP,BK-RS,711482,4330167
882,6/6/2015,GRSP,BO-KS,707185,4330000
2086,6/15/2016,GRSP,BO-OS,713241,4334479
4461,7/6/2019,GRSP,BO-PS,711794,4329307
4982,7/30/2020,GRSP,BO-SK,712784,4331308
2972,6/20/2017,GRSP,BO-SY,710754,4328686
838,6/1/2015,GRSP,BO-SY,712557,4329441
3238,7/20/2017,GRSP,BO-YS,713162,4334331
4194,6/1/2019,GRSP,BP-AS,712002,4329337
4775,6/18/2020,GRSP,BP-DS,712314,4330441
1592,7/31/2015,GRSP,BP-SA,713879,4335489
503,7/9/2014,GRSP,BP-SP,712671,4328912
172,5/28/2014,GRSP,BP-SR,712439,4330094
4896,7/10/2020,GRSP,BR-AS,712572,4330042
20,5/9/2014,GRSP,BR-SA,712402,4328956
31,5/9/2014,GRSP,BR-SA,712402,4328956
2430,7/13/2016,GRSP,BS-AA,713894,4335438
3991,7/28/2018,GRSP,BS-AG,713468,4334316
1925,6/3/2016,GRSP,BS-AK,712078,4331892
611,8/2/2014,GRSP,BS-AW,711422,4330714
1056,6/25/2015,GRSP,BS-BA,713358,4334430
1630,8/6/2015,GRSP,BS-BA,713346,4334455
836,6/1/2015,GRSP,BS-BA,713367,4334470
577,7/22/2014,GRSP,BS-BB,711537,4330478
88,5/10/2014,GRSP,BS-BD,712286,4330261
628,5/2/2015,GRSP,BS-BK,712135,4329664
3065,7/4/2017,GRSP,BS-DA,706748,4329715
113,5/17/2014,GRSP,BS-DK,712409,4328949
48,5/9/2014,GRSP,BS-DK,712402,4328956
59,5/9/2014,GRSP,BS-DK,712402,4328956
946,6/12/2015,GRSP,BS-DK,711968,4329673
4338,6/17/2019,GRSP,BS-DK,712424,4332541
4337,6/17/2019,GRSP,BS-DK,712451,4332543
4336,6/17/2019,GRSP,BS-DK,712433,4332558
28,5/9/2014,GRSP,BS-GK,712521,4329345
35,5/9/2014,GRSP,BS-GK,712521,4329345
1000,6/20/2015,GRSP,BS-GK,711597,4329924
4652,5/23/2020,GRSP,BS-GO,712298,4329897
4601,4/28/2020,GRSP,BS-Gox,712330,4329953
2446,7/18/2016,GRSP,BS-KB,713649,4335014
43,5/9/2014,GRSP,BS-KG,712657,4329139
163,5/26/2014,GRSP,BS-KG,712657,4329139
3298,5/8/2018,GRSP,BS-KK,712550,4330126
1778,5/20/2016,GRSP,BS-OB,712578,4330520
702,5/13/2015,GRSP,BS-OK,713668,4335299
707,5/13/2015,GRSP,BS-OK,713668,4335299
887,6/8/2015,GRSP,BS-OK,713696,4335395
889,6/8/2015,GRSP,BS-OK,713700,4335400
2370,7/6/2016,GRSP,BS-OP,710745,4331804
2407,7/9/2016,GRSP,BS-OP,710758,4331809
2200,6/21/2016,GRSP,BS-OP,710765,4331817
2403,7/9/2016,GRSP,BS-OP,710785,4331823
2405,7/9/2016,GRSP,BS-OP,710782,4331832
445,7/2/2014,GRSP,BS-OY,712429,4329191
455,7/2/2014,GRSP,BS-OY,712398,4329198
45,5/9/2014,GRSP,BS-OY,712416,4329202
68,5/9/2014,GRSP,BS-OY,712416,4329202
262,6/4/2014,GRSP,BS-OY,712389,4329205
450,7/2/2014,GRSP,BS-OY,712406,4329207
267,6/4/2014,GRSP,BS-OY,712419,4329218
252,6/4/2014,GRSP,BS-OY,712388,4329228
263,6/4/2014,GRSP,BS-OY,712399,4329233
295,6/8/2014,GRSP,BS-OY,712378,4329266
300,6/8/2014,GRSP,BS-OY,712378,4329266
1688,5/6/2016,GRSP,BS-PG,712212,4331925
4293,6/12/2019,GRSP,BS-RO,711590,4329482
4117,5/20/2019,GRSP,BS-RO,711651,4329540
206,5/30/2014,GRSP,BS-WB,712318,4330091
1145,7/2/2015,GRSP,BS-WG,711697,4329849
1647,8/8/2015,GRSP,BS-WG,711668,4329908
1656,8/10/2015,GRSP,BS-WG,711668,4329908
649,5/9/2015,GRSP,BS-WW,712596,4330491
4599,4/28/2020,GRSP,BS-WY,712403,4329992
4626,5/20/2020,GRSP,BS-WY,712440,4330031
1779,5/21/2016,GRSP,BS-YG,708704,4329341
2345,7/5/2016,GRSP,BS-YY,712465,4328866
2259,6/25/2016,GRSP,BS-YY,712463,4328918
2343,7/5/2016,GRSP,BS-YY,712412,4328922
362,6/16/2014,GRSP,BW-BS,711230,4330534
564,7/19/2014,GRSP,BW-GS,713861,4335431
111,5/17/2014,GRSP,BW-RS,711364,4330694
1698,5/6/2016,GRSP,BW-SD,712274,4332023
1897,5/30/2016,GRSP,BW-SD,712311,4332028
1894,5/30/2016,GRSP,BW-SD,712278,4332049
1904,5/30/2016,GRSP,BW-SD,712327,4332083
4024,5/4/2019,GRSP,BW-SG,708536,4340936
167,5/27/2014,GRSP,BW-SK,711042,4328372
570,7/21/2014,GRSP,BW-SK,710833,4328430
4,4/28/2014,GRSP,BW-SK,711142,4328491
605,7/29/2014,GRSP,BW-SK,710808,4328554
499,7/8/2014,GRSP,BW-SY,711503,4330730
4046,5/13/2019,GRSP,BY-GS,710826,4330221
1297,7/15/2015,GRSP,BY-OS,711883,4329289
1607,8/4/2015,GRSP,BY-OS,711902,4329344
1468,7/22/2015,GRSP,BY-OS,711898,4329352
1178,7/3/2015,GRSP,BY-OS,712181,4329353
1623,8/6/2015,GRSP,BY-OS,711911,4329357
1124,6/30/2015,GRSP,BY-OS,711903,4329360
1276,7/13/2015,GRSP,BY-OS,711903,4329360
1151,7/2/2015,GRSP,BY-OS,711987,4329366
1476,7/24/2015,GRSP,BY-OS,711883,4329368
1249,7/8/2015,GRSP,BY-OS,711903,4329369
1256,7/10/2015,GRSP,BY-OS,711915,4329371
962,6/15/2015,GRSP,BY-OS,711972,4329381
1131,7/1/2015,GRSP,BY-OS,711905,4329387
1363,7/17/2015,GRSP,BY-OS,711898,4329401
1209,7/6/2015,GRSP,BY-OS,711916,4329402
4818,6/25/2020,GRSP,BY-SG,713736,4335275
4407,6/26/2019,GRSP,BY-SK,711070,4329076
2390,7/8/2016,GRSP,BY-SW,711754,4328731
297,6/8/2014,GRSP,DA-AS,712510,4328835
680,5/11/2015,GRSP,DA-RS,713521,4334506
686,5/11/2015,GRSP,DA-RS,713521,4334506
439,7/1/2014,GRSP,DA-SY,711556,4330535
576,7/22/2014,GRSP,DA-SY,711575,4330544
4892,7/9/2020,GRSP,DB-KS,711232,4331220
4931,7/20/2020,GRSP,DB-KS,711230,4331242
4928,7/20/2020,GRSP,DB-KS,711242,4331264
4923,7/20/2020,GRSP,DB-KS,711235,4331279
4301,6/15/2019,GRSP,DB-OS,711471,4330640
4313,6/15/2019,GRSP,DB-OS,711446,4330644
4314,6/15/2019,GRSP,DB-OS,711446,4330678
3351,5/14/2018,GRSP,DB-SD,712693,4329260
3342,5/14/2018,GRSP,DB-SD,712378,4329266
2078,6/13/2016,GRSP,DB-SD,711183,4330562
4602,5/6/2020,GRSP,DB-SO,711477,4330656
4604,5/6/2020,GRSP,DB-SO,711455,4330666
4672,5/29/2020,GRSP,DB-SO,711451,4330682
4677,5/29/2020,GRSP,DB-SO,711449,4330701
4603,5/6/2020,GRSP,DB-SO,711476,4330704
4678,5/29/2020,GRSP,DB-SO,711473,4330704
4200,6/4/2019,GRSP,DB-SO,711424,4330714
4797,6/23/2020,GRSP,DB-SO,711477,4330730
2943,6/15/2017,GRSP,DB-SY,711912,4330494
3960,7/25/2018,GRSP,DB-SY,712044,4330502
3961,7/25/2018,GRSP,DB-SY,712019,4330516
2947,6/15/2017,GRSP,DB-SY,711934,4330520
3137,7/10/2017,GRSP,DB-SY,711907,4330526
2951,6/15/2017,GRSP,DB-SY,711905,4330531
3144,7/10/2017,GRSP,DB-SY,711912,4330537
4722,6/11/2020,GRSP,DD-DS,708334,4328702
4607,5/9/2020,GRSP,DD-KS,712529,4328865
4707,6/5/2020,GRSP,DD-PS,710029,4329075
4708,6/5/2020,GRSP,DD-PS,710027,4329088
4613,5/14/2020,GRSP,DD-PS,709925,4329184
4934,7/22/2020,GRSP,DD-PS,713204,4334530
655,5/9/2015,GRSP,DD-SD,712266,4330353
658,5/9/2015,GRSP,DD-SD,712266,4330353
1122,6/30/2015,GRSP,DD-SD,712227,4330385
1531,7/26/2015,GRSP,DD-SD,712250,4330406
4119,5/20/2019,GRSP,DD-SG,711755,4329776
3026,6/27/2017,GRSP,DD-SK,713299,4334393
3223,7/19/2017,GRSP,DD-SK,713284,4334432
3226,7/19/2017,GRSP,DD-SK,713292,4334432
3029,6/27/2017,GRSP,DD-SK,713238,4334448
2909,6/14/2017,GRSP,DD-SK,713259,4334476
4614,5/14/2020,GRSP,DD-SO,710037,4329083
4878,7/7/2020,GRSP,DD-SP,713191,4334502
4882,7/7/2020,GRSP,DD-SP,713198,4334515
4688,5/30/2020,GRSP,DD-SP,713192,4334517
4883,7/7/2020,GRSP,DD-SP,713197,4334527
4684,5/30/2020,GRSP,DD-SR,713403,4334372
4738,6/13/2020,GRSP,DD-SR,713168,4334510
51,5/9/2014,GRSP,DD-SW,712421,4329298
61,5/9/2014,GRSP,DD-SW,712421,4329298
405,6/26/2014,GRSP,DD-SY,711435,4328262
529,7/15/2014,GRSP,DD-SY,713412,4334348
1139,7/2/2015,GRSP,DD-WS,711737,4329968
1533,7/26/2015,GRSP,DD-WS,711743,4329990
3399,5/22/2018,GRSP,DD-WS,711845,4330172
3402,5/22/2018,GRSP,DD-WS,711848,4330185
2219,6/22/2016,GRSP,DD-WS,711933,4330529
3370,5/17/2018,GRSP,DG-KS,713338,4334411
4499,7/11/2019,GRSP,DG-OS,712009,4329397
4612,5/14/2020,GRSP,DG-PS,709925,4329184
3319,5/12/2018,GRSP,DG-SB,711578,4330539
540,7/16/2014,GRSP,DG-SK,713553,4334368
2083,6/14/2016,GRSP,DG-SY,713611,4335200
1180,7/5/2015,GRSP,DG-SY,713636,4335221
2084,6/14/2016,GRSP,DG-SY,713628,4335222
2085,6/14/2016,GRSP,DG-SY,713679,4335376
1770,5/19/2016,GRSP,DK-GS,712741,4329193
3327,5/12/2018,GRSP,DK-KS,712478,4329584
1905,5/30/2016,GRSP,DK-RS,712037,4331876
1690,5/6/2016,GRSP,DK-RS,712075,4331926
1898,5/30/2016,GRSP,DK-RS,712068,4331927
4916,7/16/2020,GRSP,DK-SD,712158,4330087
3261,7/24/2017,GRSP,DK-SG,712563,4329441
4218,6/7/2019,GRSP,DK-SR,711446,4330705
4219,6/7/2019,GRSP,DK-SR,711446,4330705
4220,6/7/2019,GRSP,DK-SR,711446,4330705
4197,6/4/2019,GRSP,DK-SR,711424,4330714
1563,7/28/2015,GRSP,DK-SY,712899,4334219
3799,7/4/2018,GRSP,DK-WS,713699,4335111
3802,7/4/2018,GRSP,DK-WS,713699,4335133
3625,6/12/2018,GRSP,DK-WS,713703,4335147
3800,7/4/2018,GRSP,DK-WS,713725,4335149
3623,6/12/2018,GRSP,DK-WS,713692,4335168
3560,6/2/2018,GRSP,DK-WS,713704,4335174
3626,6/12/2018,GRSP,DK-WS,713727,4335175
1458,7/22/2015,GRSP,D-KY,713506,4334527
1397,7/18/2015,GRSP,DO-BS,713389,4334358
1386,7/17/2015,GRSP,DO-BS,713325,4334368
1366,7/17/2015,GRSP,DO-BS,713356,4334374
1353,7/17/2015,GRSP,DO-BS,713347,4334396
313,6/10/2014,GRSP,DO-BS,713233,4334399
1351,7/17/2015,GRSP,DO-BS,713318,4334402
1095,6/29/2015,GRSP,DO-BS,713307,4334404
6,4/30/2014,GRSP,DO-BS,713288,4334413
4778,6/18/2020,GRSP,DO-DS,712526,4330742
3874,7/16/2018,GRSP,DO-GS,714044,4335160
1986,6/6/2016,GRSP,DO-KS,711648,4329898
2003,6/6/2016,GRSP,DO-KS,711670,4329912
2008,6/6/2016,GRSP,DO-KS,711659,4329936
1926,6/3/2016,GRSP,DO-KS,711690,4329952
4515,7/12/2019,GRSP,DO-RS,712186,4332527
2708,5/18/2017,GRSP,DO-SD,713511,4334207
2692,5/18/2017,GRSP,DO-SD,713531,4334211
3272,7/29/2017,GRSP,DO-SD,713409,4334311
2397,7/8/2016,GRSP,DO-SD,713350,4334345
1852,5/26/2016,GRSP,DO-SD,713298,4334352
1849,5/26/2016,GRSP,DO-SD,713298,4334355
2392,7/8/2016,GRSP,DO-SD,713350,4334357
1865,5/26/2016,GRSP,DO-SD,713332,4334358
1754,5/13/2016,GRSP,DO-SD,713325,4334361
1758,5/13/2016,GRSP,DO-SD,713325,4334361
2398,7/8/2016,GRSP,DO-SD,713341,4334366
2710,5/18/2017,GRSP,DO-SD,713238,4334368
1744,5/13/2016,GRSP,DO-SD,713339,4334372
2394,7/8/2016,GRSP,DO-SD,713324,4334373
3217,7/19/2017,GRSP,DO-SD,713362,4334373
1749,5/13/2016,GRSP,DO-SD,713330,4334384
1747,5/13/2016,GRSP,DO-SD,713336,4334400
2699,5/18/2017,GRSP,DO-SD,713253,4334444
3983,7/27/2018,GRSP,DO-SG,711214,4329060
3465,5/25/2018,GRSP,DO-SP,711218,4331881
4933,7/22/2020,GRSP,DO-SR,713035,4334310
4686,5/30/2020,GRSP,DO-SR,713121,4334379
533,7/15/2014,GRSP,DO-SY,713412,4334348
1548,7/27/2015,GRSP,DO-SY,713434,4334391
4447,7/2/2019,GRSP,DO-WS,711609,4330013
3977,7/25/2018,GRSP,DO-XX,711616,4329716
3901,7/18/2018,GRSP,DP-DS,711673,4329350
3897,7/18/2018,GRSP,DP-DS,711686,4329357
3895,7/18/2018,GRSP,DP-DS,711649,4329364
4803,6/24/2020,GRSP,DP-SD,711674,4329214
4807,6/24/2020,GRSP,DP-SD,711690,4329219
4802,6/24/2020,GRSP,DP-SD,711665,4329227
4460,7/6/2019,GRSP,DP-SD,711713,4329264
2553,7/27/2016,GRSP,DP-SY,710639,4328679
1951,6/4/2016,GRSP,DP-SY,710629,4328694
1960,6/4/2016,GRSP,DP-SY,710607,4328704
1958,6/4/2016,GRSP,DP-SY,710639,4328727
1562,7/28/2015,GRSP,DP-SY,712456,4330649
2189,6/20/2016,GRSP,DP-YS,713224,4334152
1550,7/27/2015,GRSP,DP-YS,713248,4334304
1558,7/27/2015,GRSP,DP-YS,713265,4334310
1908,6/2/2016,GRSP,DP-YS,713238,4334339
1910,6/2/2016,GRSP,DP-YS,713217,4334347
1921,6/2/2016,GRSP,DP-YS,713262,4334349
1113,6/29/2015,GRSP,DP-YS,713323,4334424
1075,6/27/2015,GRSP,DP-YS,713399,4334436
1055,6/25/2015,GRSP,DP-YS,713232,4334439
80,5/10/2014,GRSP,DR-BS,712226,4330145
184,5/28/2014,GRSP,DR-BS,712345,4330167
4578,8/1/2019,GRSP,DR-DS,709636,4328055
4904,7/10/2020,GRSP,DR-KS,708364,4328612
4666,5/28/2020,GRSP,DR-KS,708363,4328751
4667,5/28/2020,GRSP,DR-KS,708361,4328751
4665,5/28/2020,GRSP,DR-KS,708366,4328752
4623,5/19/2020,GRSP,DR-KS,708390,4328869
4278,6/11/2019,GRSP,DR-PS,711456,4328599
4813,6/24/2020,GRSP,DR-SD,712052,4329360
4751,6/15/2020,GRSP,DR-SD,711991,4329364
4754,6/15/2020,GRSP,DR-SD,711991,4329372
4749,6/15/2020,GRSP,DR-SD,711980,4329373
4720,6/11/2020,GRSP,DR-SD,712049,4329374
4783,6/18/2020,GRSP,DR-SD,712053,4329374
4780,6/18/2020,GRSP,DR-SD,712030,4329376
4805,6/24/2020,GRSP,DR-SD,712042,4329377
4771,6/18/2020,GRSP,DR-SD,712038,4329382
4810,6/24/2020,GRSP,DR-SD,712028,4329395
4920,7/17/2020,GRSP,DR-SD,712037,4329417
4040,5/11/2019,GRSP,DR-SG,711869,4329348
4648,5/21/2020,GRSP,DR-SG,711811,4329348
4644,5/21/2020,GRSP,DR-SG,711829,4329375
4651,5/21/2020,GRSP,DR-SG,711791,4329375
4386,6/25/2019,GRSP,DR-SG,711807,4329389
4653,5/25/2020,GRSP,DR-SG,711707,4329567
3577,6/4/2018,GRSP,DR-SG,711562,4330262
3579,6/4/2018,GRSP,DR-SG,711654,4330287
3570,6/4/2018,GRSP,DR-SG,711518,4330289
3566,6/4/2018,GRSP,DR-SG,711649,4330318
1768,5/19/2016,GRSP,DR-SK,712524,4329230
1911,6/2/2016,GRSP,DR-SK,712466,4329244
1913,6/2/2016,GRSP,DR-SK,712470,4329254
2053,6/8/2016,GRSP,DR-SO,708597,4329483
713,5/13/2015,GRSP,DR-SP,713530,4334961
696,5/12/2015,GRSP,DR-SP,713744,4335427
4527,7/13/2019,GRSP,DR-SR,711554,4328267
4524,7/13/2019,GRSP,DR-SR,711578,4328296
4521,7/13/2019,GRSP,DR-SR,711585,4328315
4299,6/15/2019,GRSP,DR-SR,711565,4328316
4322,6/15/2019,GRSP,DR-SR,711542,4328323
4303,6/15/2019,GRSP,DR-SR,711539,4328332
4341,6/18/2019,GRSP,DR-SR,711549,4328352
4525,7/13/2019,GRSP,DR-SR,711624,4328361
4276,6/11/2019,GRSP,DR-SR,711104,4328465
2171,6/20/2016,GRSP,DR-SW,711771,4329993
2166,6/20/2016,GRSP,DR-SW,711783,4329999
2179,6/20/2016,GRSP,DR-SW,711807,4330009
409,6/26/2014,GRSP,DR-SY,711552,4328389
4126,5/22/2019,GRSP,DR-WS,708340,4328714
2790,6/2/2017,GRSP,DR-WS,711237,4331562
2791,6/2/2017,GRSP,DR-WS,711244,4331563
2801,6/2/2017,GRSP,DR-WS,711239,4331588
2796,6/2/2017,GRSP,DR-WS,711250,4331594
2578,7/29/2016,GRSP,DR-WS,711245,4331615
3241,7/20/2017,GRSP,DR-YS,713039,4334370
811,5/31/2015,GRSP,DS-BB,711565,4331021
2249,6/23/2016,GRSP,DS-BP,713409,4334558
65,5/9/2014,GRSP,DS-BY,712561,4329270
164,5/26/2014,GRSP,DS-BY,712561,4329270
2581,7/30/2016,GRSP,DS-DD,706719,4329777
3063,7/4/2017,GRSP,DS-DD,706747,4329791
1803,5/25/2016,GRSP,DS-DG,712337,4329713
1826,5/25/2016,GRSP,DS-DG,712319,4329755
3730,6/23/2018,GRSP,DS-DK,711267,4331451
3781,6/30/2018,GRSP,DS-DK,711235,4331502
3783,6/30/2018,GRSP,DS-DK,711235,4331502
3743,6/27/2018,GRSP,DS-DK,711255,4331513
3747,6/27/2018,GRSP,DS-DK,711231,4331530
3742,6/27/2018,GRSP,DS-DK,711231,4331542
3169,7/14/2017,GRSP,DS-DP,711548,4328963
2965,6/16/2017,GRSP,DS-DP,711554,4328969
