,date,species,bands,sx,sy
1191,7/6/2015,GRSP,RS-OG,713122,4334422
1200,7/6/2015,GRSP,RS-OG,713116,4334444
1334,7/16/2015,GRSP,RS-OG,713387,4334489
1265,7/11/2015,GRSP,RS-OG,713601,4335351
1228,7/7/2015,GRSP,RS-OG,713920,4335357
1236,7/8/2015,GRSP,RS-OG,713864,4335359
1371,7/17/2015,GRSP,RS-OG,713841,4335365
1512,7/25/2015,GRSP,RS-OG,713843,4335379
1474,7/24/2015,GRSP,RS-OG,713883,4335392
1514,7/25/2015,GRSP,RS-OG,713836,4335395
1278,7/13/2015,GRSP,RS-OG,713826,4335398
1296,7/15/2015,GRSP,RS-OG,713858,4335398
1166,7/3/2015,GRSP,RS-OG,713848,4335402
1175,7/3/2015,GRSP,RS-OG,713848,4335402
1179,7/5/2015,GRSP,RS-OG,713818,4335403
1337,7/16/2015,GRSP,RS-OG,713839,4335403
2579,7/30/2016,GRSP,RS-OK,713517,4335529
1389,7/17/2015,GRSP,RS-OO,711228,4331220
1449,7/21/2015,GRSP,RS-OO,711239,4331281
1447,7/21/2015,GRSP,RS-OO,711271,4331331
1437,7/21/2015,GRSP,RS-OO,711249,4331348
2691,5/18/2017,GRSP,RS-OR,713102,4334485
2707,5/18/2017,GRSP,RS-OR,713492,4334558
2700,5/18/2017,GRSP,RS-OR,713455,4334566
1306,7/16/2015,GRSP,RS-OR,713602,4335100
1646,8/7/2015,GRSP,RS-OR,713658,4335104
1184,7/5/2015,GRSP,RS-OR,713596,4335113
1322,7/16/2015,GRSP,RS-OR,713635,4335113
1324,7/16/2015,GRSP,RS-OR,713595,4335131
1343,7/16/2015,GRSP,RS-OR,713623,4335159
2246,6/23/2016,GRSP,RS-OW,711966,4328549
4003,4/25/2019,GRSP,RS-OY,707621,4327095
4008,4/25/2019,GRSP,RS-OY,707941,4327095
4005,4/25/2019,GRSP,RS-OY,707430,4327359
4471,7/8/2019,GRSP,RS-OY,707989,4328241
4467,7/8/2019,GRSP,RS-OY,707947,4328251
