,date,species,bands,sx,sy
25,5/24/2021,EAME,GO-OS,710683,4328358
103,7/2/2021,EAME,SR-OG,710872,4330267
36,5/27/2021,EAME,KS-WO,710929,4330287
75,6/17/2021,EAME,GK-WS,711073,4328759
116,7/8/2021,EAME,GK-BS,711095,4328712
131,7/27/2021,EAME,GK-BS,711117,4328692
132,7/27/2021,EAME,GK-BS,711151,4328613
76,6/17/2021,EAME,GK-WS,711158,4328776
105,7/2/2021,EAME,RK-SY,711159,4330296
115,7/8/2021,EAME,GK-BS,711175,4328790
24,5/22/2021,EAME,RK-SY,711184,4330371
101,7/1/2021,EAME,BS-OW,711206,4330397
7,5/12/2021,EAME,KO-SG,711404,4330605
108,7/2/2021,EAME,SG-KY,711501,4329369
106,7/2/2021,EAME,SG-KY,711550,4329301
82,6/21/2021,EAME,YB-RS,711598,4329904
8,5/12/2021,EAME,GR-BS,711604,4329805
104,7/2/2021,EAME,RK-DS,711613,4329447
107,7/2/2021,EAME,RK-DS,711619,4329427
32,5/26/2021,EAME,RK-DS,711622,4329439
97,6/29/2021,EAME,RK-GS,711622,4329428
2,4/24/2021,EAME,BB-BS,711632,4329819
1,4/24/2021,EAME,GR-BS,711632,4329819
58,6/7/2021,EAME,SG-KY,711634,4329263
130,7/26/2021,EAME,SG-WR,711638,4328505
13,5/19/2021,EAME,GR-BS,711660,4329790
84,6/21/2021,EAME,YB-RS,711672,4329975
73,6/16/2021,EAME,AS-DO,711692,4328533
27,5/25/2021,EAME,SR-YW,711735,4329997
28,5/25/2021,EAME,SR-YW,711737,4329983
117,7/8/2021,EAME,GS-RY,711740,4329701
114,7/8/2021,EAME,SB-YB,711740,4329701
100,7/1/2021,EAME,YY-SK,711741,4329814
99,6/29/2021,EAME,YY-SK,711754,4329784
87,6/25/2021,EAME,DO-GS,711766,4328391
118,7/10/2021,EAME,RK-DS,711766,4329395
43,5/29/2021,EAME,DO-GS,711769,4328364
44,5/29/2021,EAME,KS-WO,711769,4328364
45,5/29/2021,EAME,SO-OO,711769,4328364
119,7/10/2021,EAME,RK-DS,711784,4329411
22,5/20/2021,EAME,SR-YB,711792,4329993
21,5/20/2021,EAME,YS-XX,711792,4329993
66,6/12/2021,EAME,YY-SK,711805,4329833
127,7/26/2021,EAME,DY-SY,711810,4328412
91,6/26/2021,EAME,YY-BS,711811,4328651
54,6/4/2021,EAME,SR-YB,711818,4329924
129,7/26/2021,EAME,DO-GS,711840,4328381
30,5/25/2021,EAME,SR-YW,711843,4330080
122,7/12/2021,EAME,YY-SK,711845,4329789
57,6/7/2021,EAME,KD-DS,711848,4329147
48,6/2/2021,EAME,YY-SK,711853,4329816
69,6/15/2021,EAME,GO-DS,711862,4328519
50,6/3/2021,EAME,YY-SK,711862,4329757
121,7/12/2021,EAME,YY-SK,711864,4329809
49,6/3/2021,EAME,YY-SK,711865,4329728
42,5/29/2021,EAME,GO-DS,711886,4328443
16,5/19/2021,EAME,SY-DY,712053,4329445
70,6/15/2021,EAME,DY-SY,712108,4329362
