,date,species,bands,sx,sy,time
364,6/4/2021,GRSP,SB-GK,713599,4334311,2621
791,7/13/2021,GRSP,SB-GK,713606,4334302,2660
466,6/14/2021,GRSP,OS-AR,713609,4335587,2631
446,6/14/2021,GRSP,SB-YO,713610,4335492,2631
932,7/26/2021,GRSP,SR-OR,713611,4335549,2673
449,6/14/2021,GRSP,SB-YO,713613,4335546,2631
584,6/23/2021,GRSP,SY-RP,713616,4335022,2640
933,7/26/2021,GRSP,SR-OR,713626,4335524,2673
934,7/26/2021,GRSP,SR-OR,713629,4335499,2673
930,7/26/2021,GRSP,SO-OW,713633,4335034,2673
465,6/14/2021,GRSP,SY-WK,713634,4335284,2631
453,6/14/2021,GRSP,SY-WK,713636,4335256,2631
86,5/18/2021,GRSP,RY-WD,713647,4335304,2604
36,5/10/2021,GRSP,BR-SK,713652,4335224,2596
37,5/10/2021,GRSP,BW-AS,713652,4335224,2596
35,5/10/2021,GRSP,SY-RP,713652,4335224,2596
931,7/26/2021,GRSP,SO-OW,713656,4335008,2673
40,5/10/2021,GRSP,YY-SP,713656,4335305,2596
45,5/10/2021,GRSP,KO-SR,713676,4334355,2596
393,6/8/2021,GRSP,SR-OR,713681,4335485,2625
92,5/18/2021,GRSP,RY-WD,713682,4335244,2604
461,6/14/2021,GRSP,SK-PG,713703,4335245,2631
963,7/29/2021,GRSP,BA-SP,713705,4335477,2676
452,6/14/2021,GRSP,SK-PG,713705,4335230,2631
962,7/29/2021,GRSP,SR-RD,713705,4335477,2676
582,6/23/2021,GRSP,OG-SB,713707,4335120,2640
87,5/18/2021,GRSP,SO-RW,713707,4335307,2604
450,6/14/2021,GRSP,SK-PG,713708,4335257,2631
818,7/19/2021,GRSP,SR-RD,713712,4335480,2666
458,6/14/2021,GRSP,OG-SR,713714,4335115,2631
240,5/26/2021,GRSP,OG-SB,713716,4335146,2612
464,6/14/2021,GRSP,OG-SR,713719,4335129,2631
567,6/23/2021,GRSP,SO-PW,713720,4335271,2640
803,7/14/2021,GRSP,KS-YO,713722,4335341,2661
569,6/23/2021,GRSP,SO-PW,713729,4335253,2640
576,6/23/2021,GRSP,SO-PW,713732,4335308,2640
451,6/14/2021,GRSP,OG-SR,713737,4335149,2631
226,5/26/2021,GRSP,OG-SB,713742,4335156,2612
570,6/23/2021,GRSP,OG-SB,713743,4335132,2640
568,6/23/2021,GRSP,OG-SB,713746,4335118,2640
245,5/26/2021,GRSP,OG-SB,713749,4335128,2612
572,6/23/2021,GRSP,SO-PW,713749,4335313,2640
378,6/8/2021,GRSP,OB-OS,713750,4335345,2625
382,6/8/2021,GRSP,SO-PW,713750,4335345,2625
936,7/26/2021,GRSP,SR-RD,713752,4335477,2673
44,5/10/2021,GRSP,OY-SD,713755,4335205,2596
39,5/10/2021,GRSP,SY-WK,713755,4335205,2596
937,7/26/2021,GRSP,SR-RD,713756,4335504,2673
447,6/14/2021,GRSP,DR-SR,713766,4335521,2631
237,5/26/2021,GRSP,KS-GR,713767,4335511,2612
801,7/14/2021,GRSP,SO-PW,713770,4335299,2661
242,5/26/2021,GRSP,SK-PG,713773,4335208,2612
98,5/18/2021,GRSP,KS-GR,713774,4335533,2604
228,5/26/2021,GRSP,KS-GR,713775,4335518,2612
229,5/26/2021,GRSP,KS-GR,713775,4335511,2612
101,5/18/2021,GRSP,KS-GR,713776,4335521,2604
800,7/14/2021,GRSP,SO-PW,713776,4335296,2661
103,5/18/2021,GRSP,KS-GR,713777,4335506,2604
353,6/4/2021,GRSP,SK-PD,713779,4335196,2621
234,5/26/2021,GRSP,SK-PG,713788,4335208,2612
239,5/26/2021,GRSP,SK-PG,713792,4335198,2612
342,6/4/2021,GRSP,SK-PD,713796,4335189,2621
82,5/18/2021,GRSP,SK-PG,713798,4335220,2604
102,5/18/2021,GRSP,SK-PG,713798,4335255,2604
935,7/26/2021,GRSP,SR-RD,713803,4335492,2673
99,5/18/2021,GRSP,SK-PG,713817,4335245,2604
454,6/14/2021,GRSP,DR-SR,713822,4335520,2631
457,6/14/2021,GRSP,DR-SR,713823,4335473,2631
340,6/4/2021,GRSP,KS-YO,713829,4335239,2621
691,7/5/2021,GRSP,KS-YO,713829,4335296,2652
804,7/14/2021,GRSP,KS-YO,713836,4335292,2661
38,5/10/2021,GRSP,SK-PG,713836,4335274,2596
96,5/18/2021,GRSP,KS-GR,713838,4335508,2604
472,6/14/2021,GRSP,KS-YO,713846,4335265,2631
705,7/5/2021,GRSP,KS-YO,713849,4335270,2652
805,7/14/2021,GRSP,KS-YO,713850,4335293,2661
384,6/8/2021,GRSP,KS-YO,713854,4335290,2625
389,6/8/2021,GRSP,YA-KS,713854,4335290,2625
42,5/10/2021,GRSP,GG-SD,713860,4335439,2596
41,5/10/2021,GRSP,SO-PW,713860,4335439,2596
471,6/14/2021,GRSP,KS-YO,713862,4335289,2631
806,7/14/2021,GRSP,KS-YO,713862,4335287,2661
579,6/23/2021,GRSP,KS-YO,713870,4335307,2640
706,7/5/2021,GRSP,SG-KD,713871,4335414,2652
349,6/4/2021,GRSP,KS-YO,713872,4335309,2621
928,7/26/2021,GRSP,KS-YO,713874,4335315,2673
929,7/26/2021,GRSP,KS-YO,713876,4335354,2673
704,7/5/2021,GRSP,SG-KD,713876,4335451,2652
583,6/23/2021,GRSP,KS-YO,713878,4335320,2640
699,7/5/2021,GRSP,SG-KD,713891,4335425,2652
590,6/23/2021,GRSP,SG-KD,713895,4335401,2640
241,5/26/2021,GRSP,SG-KD,713900,4335396,2612
244,5/26/2021,GRSP,SG-KD,713912,4335398,2612
592,6/23/2021,GRSP,SG-KD,713914,4335406,2640
221,5/26/2021,GRSP,SG-KD,713925,4335388,2612
589,6/23/2021,GRSP,SG-KD,713925,4335384,2640
